[04 02] 02:18:47 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 02:18:47 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 02:18:47 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 3160 papers
[04 02] 02:22:50 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_tcs_papers.csv
[04 02] 03:10:41 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 03:10:41 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 03:10:41 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 03:10:41 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 03:10:41 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 03:14:31 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_ee_papers.csv
[04 02] 03:14:31 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_tcs_papers.csv using filters: [['TCS', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 03:14:31 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] TCS [value] 
[04 02] 03:14:31 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 03:14:31 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 03:14:31 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 3160 papers
[04 02] 03:17:19 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_tcs_papers.csv
[04 02] 20:29:57 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_ee_papers.csv using filters: [['EE', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 20:29:57 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] EE [value] 
[04 02] 20:29:57 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 20:29:57 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 20:29:57 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 4579 papers
[04 02] 20:34:12 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_ee_papers.csv
[04 02] 20:34:12 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exporting data to new_tcs_papers.csv using filters: [['TCS', ''], ['start_date', '2016-01-01'], ['end_date', '2024-12-31']]
[04 02] 20:34:12 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] TCS [value] 
[04 02] 20:34:12 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] start_date [value] 2016-01-01
[04 02] 20:34:12 | PureOpenAlex.managers>filter_by() [DEBUG] |> [filter] end_date [value] 2024-12-31
[04 02] 20:34:13 | PureOpenAlex.managers>create_csv() [INFO] |> Creating list with data for CSV for 3160 papers
[04 02] 20:37:17 | PureOpenAlex.data_export>export_paper_data() [INFO] |> Exported data to new_tcs_papers.csv
[04 04] 00:28:47 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:31:49 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:33:42 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:35:08 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:35:08 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:35:08 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a02127de-ffb5-4e95-95aa-61a8bb0c7f98
[04 04] 00:35:08 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 7149dba7-bc8d-4e0d-a4ec-47e19a424c9e
[04 04] 00:35:08 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ceb1f186-ced2-4775-9bfb-65a801455bd9
[04 04] 00:35:08 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ba7c72a7-07ac-4839-811d-6dfb531c4f4c
[04 04] 00:39:40 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:39:40 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:39:40 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a02127de-ffb5-4e95-95aa-61a8bb0c7f98
[04 04] 00:39:40 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 7149dba7-bc8d-4e0d-a4ec-47e19a424c9e
[04 04] 00:39:40 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ceb1f186-ced2-4775-9bfb-65a801455bd9
[04 04] 00:39:40 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ba7c72a7-07ac-4839-811d-6dfb531c4f4c
[04 04] 00:42:53 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:42:53 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:42:53 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a02127de-ffb5-4e95-95aa-61a8bb0c7f98
[04 04] 00:42:53 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 7149dba7-bc8d-4e0d-a4ec-47e19a424c9e
[04 04] 00:42:53 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ceb1f186-ced2-4775-9bfb-65a801455bd9
[04 04] 00:42:53 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ba7c72a7-07ac-4839-811d-6dfb531c4f4c
[04 04] 00:43:17 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:44:35 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:45:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:47:42 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:48:54 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:48:54 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:50:28 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:50:28 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:51:25 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:51:25 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:54:17 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:54:17 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:55:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 00:55:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 00:55:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a02127de-ffb5-4e95-95aa-61a8bb0c7f98
[04 04] 00:55:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 7149dba7-bc8d-4e0d-a4ec-47e19a424c9e
[04 04] 00:55:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ceb1f186-ced2-4775-9bfb-65a801455bd9
[04 04] 00:55:50 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ba7c72a7-07ac-4839-811d-6dfb531c4f4c
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 415a890b-b90d-4c98-82d2-0dbe83a32f79
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 3e414818-2107-4613-972c-f9ae8e341a16
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a02127de-ffb5-4e95-95aa-61a8bb0c7f98
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 7149dba7-bc8d-4e0d-a4ec-47e19a424c9e
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ceb1f186-ced2-4775-9bfb-65a801455bd9
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ba7c72a7-07ac-4839-811d-6dfb531c4f4c
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 06dea8ca-81b6-4c99-998c-a1fee54cea3c
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a26be02a-66db-4aab-95da-62c095573f94
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 5825baf5-5598-444a-a437-3e039b236471
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 926f743b-15a1-446c-94c9-83c67c372e46
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 6d5d11df-9742-4316-b9bf-8870b68eeec9
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 1f579ab5-26fc-46e1-a339-524bea8e5f41
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id a816cbcc-ece7-4db6-a03f-77f1c440eac6
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 38429726-5cc4-4b39-b7ea-b825cee8b2ab
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ce738fdd-bc2d-480f-ae48-e2b01978d027
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id 1377be59-1fa9-414b-a8dc-a6241407caa5
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id d6991664-7981-4f4f-bdd1-cc908c32a338
[04 04] 01:09:46 | mus_backend.get_from_file>process_data_from_xmls() [INFO] |> processing item with @id ccb59e51-6f36-40da-ab99-5f2a83ccd879
